Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
122ED7       1    No     00000A2C-00000A31        6
122EE2       1    No     00000A32-00000A37        6
122EE4       2    No     00000A38-00000A3E        7
122EE7       1    No     00000A3F-00000A44        6
122EE9       1    No     00000A45-00000A4A        6
122EF3       1    No     00000A4B-00000A50        6
122EF5       5    No     00000A51-00000A5A        A
122F81       1    No     00000A5B-00000A60        6
122F84       1    No     00000A61-00000A66        6
122F86       2    No     00000A67-00000A6D        7
122F94       4    No     00000A6E-00000A76        9
122FA2       1    No     00000A77-00000A7C        6
122FA5       1    No     00000A7D-00000A82        6
122FA7       1    No     00000A83-00000A88        6
122FB3       1    No     00000A89-00000A8E        6
122FB5       2    No     00000A8F-00000A95        7
122FC1       2    No     00000A96-00000A9C        7
122FC4       1    No     00000A9D-00000AA2        6
122FC6       2    No     00000AA3-00000AA9        7
122FD2       1    No     00000AAA-00000AAF        6
122FD5       3    No     00000AB0-00000AB7        8
122FE2       1    No     00000AB8-00000ABD        6
122FE5       1    No     00000ABE-00000AC3        6
122FE7       1    No     00000AC4-00000AC9        6
122FF3       1    No     00000ACA-00000ACF        6
122FF5       2    No     00000AD0-00000AD6        7
123042       B    No     00000AD7-00000AE6       10
123054       6    No     00000AE7-00000AF1        B
123062       4    No     00000AF2-00000AFA        9
123072       4    No     00000AFB-00000B03        9
123089       1    No     00000B04-00000B09        6
12308B       3    No     00000B0A-00000B11        8
123099       1    No     00000B12-00000B17        6
12309B       2    No     00000B18-00000B1E        7
123102       B    No     00000B1F-00000B2E       10
123114       3    No     00000B2F-00000B36        8
123118       2    No     00000B37-00000B3D        7
12311D       1    No     00000B3E-00000B43        6
123122       4    No     00000B44-00000B4C        9
123132       4    No     00000B4D-00000B55        9
123206       1    No     00000B56-00000B5B        6
123208       1    No     00000B5C-00000B61        6
12320A       6    No     00000B62-00000B6C        B
123216       1    No     00000B6D-00000B72        6
12321C       4    No     00000B73-00000B7B        9
12322A       4    No     00000B7C-00000B84        9
12323A       4    No     00000B85-00000B8D        9
123240       2    No     00000B8E-00000B94        7
123244       1    No     00000B95-00000B9A        6
123250       2    No     00000B9B-00000BA1        7
123282       B    No     00000BA2-00000BB1       10
123294       6    No     00000BB2-00000BBC        B
1232C2       6    No     00000BBD-00000BC7        B
1232D4       4    No     00000BC8-00000BD0        9
1232E2       4    No     00000BD1-00000BD9        9
1232F2       3    No     00000BDA-00000BE1        8
123402       B    No     00000BE2-00000BF1       10
123414       6    No     00000BF2-00000BFC        B
1234C1       1    No     00000BFD-00000C02        6
1234C3       2    No     00000C03-00000C09        7
1234C7       1    No     00000C0A-00000C0F        6
1234C9       6    No     00000C10-00000C1A        B
1234D6       1    No     00000C1B-00000C20        6
1234D8       1    No     00000C21-00000C26        6
1234DB       1    No     00000C27-00000C2C        6
1234E3       5    No     00000C2D-00000C36        A
1234F2       1    No     00000C37-00000C3C        6
1234F4       4    No     00000C3D-00000C45        9
123581       1    No     00000C46-00000C4B        6
123584       2    No     00000C4C-00000C52        7
123587       1    No     00000C53-00000C58        6
123594       3    No     00000C59-00000C60        8
1235A2       6    No     00000C61-00000C6B        B
1235B2       8    No     00000C6C-00000C78        D
1235C1       5    No     00000C79-00000C82        A
1235C7       1    No     00000C83-00000C88        6
1235D4       3    No     00000C89-00000C90        8
1235E2       6    No     00000C91-00000C9B        B
1235F2       8    No     00000C9C-00000CA8        D
123644       8    No     00000CA9-00000CB5        D
123654       6    No     00000CB6-00000CC0        B
12365B       1    No     00000CC1-00000CC6        6
123662       1    No     00000CC7-00000CCC        6
123664       1    No     00000CCD-00000CD2        6
123673       3    No     00000CD3-00000CDA        8
123808       1    No     00000CDB-00000CE0        6
12380A       1    No     00000CE1-00000CE6        6
12380C       1    No     00000CE7-00000CEC        6
12380E       2    No     00000CED-00000CF3        7
123818       2    No     00000CF4-00000CFA        7
12381C       4    No     00000CFB-00000D03        9
123884       1    No     00000D04-00000D09        6
123886       7    No     00000D0A-00000D15        C
123894       6    No     00000D16-00000D20        B
12389B       1    No     00000D21-00000D26        6
1238C4       1    No     00000D27-00000D2C        6
1238C6       2    No     00000D2D-00000D33        7
1238D4       4    No     00000D34-00000D3C        9
123A02       1    No     00000D3D-00000D42        6
123A04       8    No     00000D43-00000D4F        D
123A12       1    No     00000D50-00000D55        6
123A14       6    No     00000D56-00000D60        B
123A1B       1    No     00000D61-00000D66        6
123AE3       1    No     00000D67-00000D6C        6
123AE5       1    No     00000D6D-00000D72        6
123B81       1    No     00000D73-00000D78        6
123B84       1    No     00000D79-00000D7E        6
123B86       1    No     00000D7F-00000D84        6
123B88       2    No     00000D85-00000D8B        7
123B8B       1    No     00000D8C-00000D91        6
123B94       1    No     00000D92-00000D97        6
123B96       1    No     00000D98-00000D9D        6
123B98       2    No     00000D9E-00000DA4        7
123B9B       1    No     00000DA5-00000DAA        6
123BC1       2    No     00000DAB-00000DB1        7
123BC4       1    No     00000DB2-00000DB7        6
123BC6       1    No     00000DB8-00000DBD        6
123BC8       2    No     00000DBE-00000DC4        7
123BCB       1    No     00000DC5-00000DCA        6
